Daily Runoff....
StartDate: 2001-01-02 12:00:00
EndDate: 2002-01-02 12:00:00

Time[yyyy-MM-dd hh:mm:ss], Runoff, Streamflow [l/s], PET, Precipitation
2001-10-15 01:00:00, 2.3240121119491053, 3.3569063839264857, 0.9179682990983876, 0.0
2001-10-16 01:00:00, 2.241786395646803, 3.2381359048231606, 1.1062363027609912, 0.0
2001-10-17 01:00:00, 2.159923477286672, 3.119889467191859, 1.2037907306248445, 0.0
2001-10-18 01:00:00, 2.0806871330282126, 3.0054369699296406, 1.3432626238722019, 0.0
2001-10-19 01:00:00, 2.0030165222239122, 2.893246087656762, 1.367982617169155, 0.0
2001-10-20 01:00:00, 1.9293800995782537, 2.7868823660574775, 1.410183743992749, 0.0
2001-10-21 01:00:00, 1.8590999903562027, 2.6853666527367372, 1.3755001222106262, 0.0
2001-10-22 01:00:00, 1.7934703630622428, 2.5905683022010173, 1.3938706507072158, 0.0
2001-10-23 01:00:00, 1.7310663277707559, 2.500429140113314, 1.0697852694480796, 3.3499999999999996
2001-10-24 01:00:00, 1.7416609763025859, 2.5157325213259574, 0.7615409745675458, 0.0
2001-10-25 01:00:00, 1.693886998288169, 2.446725664194022, 0.5244528443628347, 0.0
2001-10-26 01:00:00, 1.6526460440840485, 2.387155397010292, 0.900462299640101, 0.0
2001-10-27 01:00:00, 1.606422723488827, 2.3203883783727504, 1.0790368943449618, 0.0
2001-10-28 01:00:00, 1.5591976403147143, 2.2521743693434764, 1.191159222884898, 0.0
2001-10-29 12:00:00, 1.5122700028265015, 2.1843900040827244, 1.0799261111922684, 0.0
2001-10-30 12:00:00, 1.4693346158941265, 2.122372222958183, 0.9142257684204481, 0.0
2001-10-31 12:00:00, 1.4309315300394418, 2.0669010989458605, 1.111753685072129, 0.0
2001-11-01 12:00:00, 1.3910704989339007, 2.0093240540156345, 1.134959182060565, 0.0
2001-11-02 12:00:00, 1.352570150122277, 1.9537124390655114, 1.060095874607937, 0.0
2001-11-03 12:00:00, 1.3167929501107192, 1.9020342612710388, 1.046028260101374, 0.0
2001-11-04 12:00:00, 1.2826722898697749, 1.8527488631452302, 1.0318014787725454, 0.0
2001-11-05 12:00:00, 1.2501071315887369, 1.805710301183731, 1.1609535488036768, 0.0
2001-11-06 12:00:00, 1.2170619174137176, 1.7579783251531478, 1.1282778284153083, 0.0
2001-11-07 12:00:00, 1.1857557787814972, 1.7127583471288292, 1.093616560627824, 0.0
2001-11-08 12:00:00, 1.1561019980455614, 1.6699251082880329, 1.0576204984789719, 0.0
2001-11-09 12:00:00, 1.1280123293976603, 1.6293511424632872, 0.9507762885998151, 0.0
2001-11-10 12:00:00, 1.1022564887071573, 1.5921482614658937, 0.7802353188605273, 0.0
2001-11-11 12:00:00, 1.0794405054393577, 1.5591918411901835, 0.7784688426040884, 0.0
2001-11-12 12:00:00, 1.0573855712016575, 1.5273347139579498, 0.9249165194753219, 0.0
2001-11-13 12:00:00, 1.034350651940439, 1.4940620528028565, 0.9325210806907582, 0.0
2001-11-14 12:00:00, 1.011991032878612, 1.461764825269106, 1.0575504290033735, 0.0
2001-11-15 12:00:00, 0.988985909087038, 1.4285352020146105, 1.0006221669664646, 0.0
2001-11-16 12:00:00, 0.9673625305131338, 1.3973014329634157, 0.9368149469971649, 0.0
2001-11-17 12:00:00, 0.9471105277604305, 1.3680485400983995, 0.9134492921630926, 0.0
2001-11-18 12:00:00, 0.9277320140029317, 1.3400573535597902, 0.6318240701937243, 0.0
2001-11-19 12:00:00, 0.9117943872982117, 1.317036337208528, 0.7191255443373967, 0.0
2001-11-20 12:00:00, 0.8954202664905416, 1.2933848293752268, 0.7522388792742104, 0.0
2001-11-21 12:00:00, 0.8791766598596726, 1.2699218420195273, 0.5741872314140213, 28.750000000000004
2001-11-22 12:00:00, 1.1906823349333904, 1.719874483792675, 0.6823181776042291, 17.83
2001-11-23 12:00:00, 1.4216618835166408, 2.053511609524037, 0.7689773071685614, 3.349999999999998
2001-11-24 12:00:00, 1.4400938924800577, 2.0801356224711944, 0.8978561624583228, 0.0
2001-11-25 12:00:00, 1.403165971556749, 2.0267952922486376, 0.8975998929993577, 0.0
2001-11-26 12:00:00, 1.3677499625472433, 1.9756388347904625, 0.8064869556846143, 0.0
2001-11-27 12:00:00, 1.335103528920667, 1.92848287510763, 0.5184009649187107, 0.0
2001-11-28 12:00:00, 1.30788894398839, 1.8891729190943412, 0.5797844069210568, 15.030000000000001
2001-11-29 12:00:00, 1.5135232269540628, 2.1862002167114243, 0.8623610122372422, 0.0
2001-11-30 12:00:00, 1.4740909314227413, 2.129242456499515, 0.8041606972610064, 0.0
2001-12-01 12:00:00, 1.4372442648145551, 2.076019493621024, 0.8073408960208777, 0.0
2001-12-02 12:00:00, 1.4018429166526627, 2.024884212942735, 0.9010093832223964, 0.0
2001-12-03 12:00:00, 1.3664286238876975, 1.973730234504452, 0.8426951351298186, 0.0
2001-12-04 12:00:00, 1.3332968008096884, 1.9258731567251053, 0.8571890862426437, 0.0
2001-12-05 12:00:00, 1.3012377678628253, 1.8795656646907477, 0.755515178843542, 0.0
2001-12-06 12:00:00, 1.2718380404060066, 1.837099391697565, 0.5742700523826244, 0.0
2001-12-07 12:00:00, 1.24601544747919, 1.7998000908032743, 0.6013582951921803, 0.0
2001-12-08 12:00:00, 1.2206999735499626, 1.7632332951277236, 0.23738610415321199, 32.05
2001-12-09 12:00:00, 1.7148654071081466, 2.477027810267323, 0.5087689674169656, 0.0
2001-12-10 12:00:00, 1.6730152697202911, 2.4165776118181985, 0.541027389076101, 0.0
2001-12-11 12:00:00, 1.632360415720053, 2.3578539338178546, 0.4872790203058887, 4.62
2001-12-12 12:00:00, 1.678346125080125, 2.424277736226847, 0.6634872381024522, 7.67
2001-12-13 12:00:00, 1.7807074171021808, 2.572132935814261, 0.6931315815513618, 0.0
2001-12-14 12:00:00, 1.7324275113305325, 2.5023952941441023, 0.5648580079861656, 0.0
2001-12-15 12:00:00, 1.6887662217939303, 2.439328987035677, 0.547963587549762, 16.05
2001-12-16 12:00:00, 1.968907845641457, 2.8439779992598826, 0.5679700524868598, 0.0
2001-12-17 12:00:00, 1.9141840795896503, 2.764932559407273, 0.688542576663973, 0.0
2001-12-18 12:00:00, 1.8596202099388182, 2.6861180810227374, 0.5282955863910249, 0.0
2001-12-19 12:00:00, 1.8109288327794997, 2.615786091792611, 0.5895010837000214, 0.0
2001-12-20 12:00:00, 1.7632671746876027, 2.5469414745487593, 0.5570535988933957, 0.0
2001-12-21 12:00:00, 1.7183887791533916, 2.482117125443788, 0.4900162158660339, 16.81
2001-12-22 12:00:00, 2.0210699309769757, 2.9193232336334094, 0.3219711471099741, 0.0
2001-12-23 12:00:00, 1.9691328146614993, 2.8443029545110545, 0.42185518816319556, 0.0
2001-12-24 12:00:00, 1.9175085570700798, 2.76973458243456, 0.3423435779982792, 0.0
2001-12-25 12:00:00, 1.8699603897680308, 2.7010538963316, 0.40823068107019467, 0.0
2001-12-26 12:00:00, 1.8232197191635502, 2.6335395943473503, 0.546459986628288, 0.0
2001-12-27 12:00:00, 1.7758412247070026, 2.5651039912434483, 0.5127940538875164, 0.0
